coin_value_zw,debt_qty,debt_value_zw,debtors,holders,label,layer,market_price,meaning,name,positive_qty,positive_value_zw,q,shortage_index
1.0,4215.570117184126,4215.570117184126,1,318,Q1,Grundmünze,1.193917331320639,"Aufgabe, Schwierigkeit, Knoten, Problemkern",Schwierigkeit,8259.822452642078,8259.822452642078,1,0.5103087666332606
1.0,0.0,0.0,0,69,Q2,Grundmünze,1.0,"Teil, Kompliziertheit, Molekülelement, Teilstruktur",Komplexität,1558.1721349617922,1558.1721349617922,2,0.0
1.0,0.0,0.0,0,67,Q3,Grundmünze,1.0,"Theorie, Modell, lockerer/fester Zwischenzustand",Abstraktion,1071.6240941090655,1071.6240941090655,3,0.0
1.0,0.0,0.0,0,54,Q4,Grundmünze,1.0,"formales Objekt, Faden, mathematische Gestalt",Kristallisation,200.69845302693926,200.69845302693926,4,0.0
2.0,0.0,0.0,0,64,Q5,Operationsmünze,2.0,"Enkodieren, Befehl, Kommando, imperatives Programmieren",Kodierung,1404.554434882852,2809.108869765704,5,0.0
2.0,0.0,0.0,0,50,Q6,Operationsmünze,2.0,"declarative Beschreibung, Regel, Faden statt Befehl",Deklaration,137.42922105473525,274.8584421094705,6,0.0
2.0,0.0,0.0,0,58,Q7,Operationsmünze,2.0,"Delegieren, Referenzieren, Verantwortungsübertragung",Delegation,205.72547885034388,411.45095770068775,7,0.0
2.0,0.0,0.0,0,44,Q8,Operationsmünze,2.0,"wiederverwendbarer Stein, Wabe, Bausteinsammlung",Bibliothek,214.14397209364554,428.2879441872911,8,0.0
2.0,0.0,0.0,0,42,Q9,Operationsmünze,2.0,"Rahmen, Organisches, allgemeine Intelligenzstruktur",Framework,130.66570899093315,261.3314179818663,9,0.0
3.0,1468.99806204392,4406.99418613176,4,67,Q10,Systemmünze,3.909929866546307,"Beschränkung, Struktur, Strick, Möglichkeitsraum",Constraint,1840.0917942496671,5520.275382749001,10,0.7981840934616727
3.0,872.7965748003821,2618.3897244011464,4,38,Q11,Systemmünze,3.7463421535481825,"Eingriff, Interface, Gedankeneinsatz",Schnittstelle,1332.8194177770883,3998.458253331265,11,0.6546860996036685
3.0,3.174391965488314,9.523175896464942,1,20,Q12,Systemmünze,3.018356345963701,"Werkzeugkoffer, Mathematik, Methoden",Toolbox,196.8086712798277,590.4260138394832,12,0.016102057862895414
3.0,0.0,0.0,0,27,Q13,Systemmünze,3.0,"Programm, Service, Paradigma, Dienst, Gedankenansatz",Programm/Dienst,531.2611600172992,1593.7834800518976,13,0.0
3.0,0.0,0.0,0,20,Q14,Systemmünze,3.0,"Komposition, Choreographie, Dirigieren, Meisterung",Orchestrierung,111.91060981368912,335.73182944106736,14,0.0
3.0,0.0,0.0,0,21,Q15,Systemmünze,3.0,"Applikation, Werk, Opus",Anwendung,48.356322334021876,145.06896700206562,15,0.0
3.0,0.0,0.0,0,21,Q16,Systemmünze,3.0,"Menü, Kernel, Betriebssystem, Ausführung",Betrieb,590.9165837361672,1772.7497512085017,16,0.0
4.0,0.5121859962693643,2.0487439850774574,2,14,Q17,Kapitalmünze,4.011806509894976,Kompression; 1/Q17 = Dekompression,Kompression,65.69012297069165,262.7604918827666,17,0.007767440720379233
4.0,0.0,0.0,0,16,Q18,Kapitalmünze,4.0,"Architektur, Konstruktion",Architektur,200.16920699661864,800.6768279864746,18,0.0
4.0,0.0,0.0,0,9,Q19,Kapitalmünze,4.0,Generierung; 1/Q19 = Degenerierung,Generierung,55.09384218009175,220.375368720367,19,0.0
4.0,0.0,0.0,0,7,Q20,Kapitalmünze,4.0,"Modul, Maschine, Gerät, fertige Entwicklung",Modul/Maschine,98.7516177774487,395.0064711097948,20,0.0
