dimension,name_de,short,question,contract_role,economic_replacement,weight
causality,Kausalität,K,Trifft die Handlung die reale Ursache oder nur ein Symptom?,Ohne genügende Kausalität ist ein Vertrag nur ein Versuch und muss experimentell/prüfend sein.,ersetzt Preissignal durch Ursache-Wirkung-Nachweis,0.08
time,Zeit,Z,"Wie dringend ist die Wirkung, und in welchem Zeitfenster muss sie eintreten?","Bestimmt Frist, Priorität, Notfallstufe und Dauer der Verpflichtung.",ersetzt Liefertermin als Marktbedingung durch reale Dringlichkeit,0.12
intensity,Intensität,I,"Wie stark ist Bedarf, Mangel, Schaden oder positive Wirkung?","Bestimmt Einsatzstärke, Personalzeit, Schutzgrad und Eskalation.",ersetzt Zahlungsbereitschaft durch Stärke des Phänomens,0.12
existence,Existenz,E,"Ist das Phänomen wirklich vorhanden, gemessen, gemeldet und überprüfbar?","Bestimmt, ob der Vertrag auf Realität oder auf Vermutung steht.",ersetzt Eigentums-/Besitznachweis durch Existenznachweis des Zustands,0.08
potencies,Potenzen,P,"Welche Möglichkeiten, Fähigkeiten, Reserven und Lösungswege sind vorhanden?","Bestimmt, ob eine Wirkung sofort, teilweise oder erst nach Aufbau möglich ist.",ersetzt Kapitalrendite durch reale Fähigkeit zur Transformation,0.08
effects,Wirkungen,W,Welche positiven und negativen Systemfolgen entstehen?,"Bestimmt Zielwirkung, Nebenwirkungsprüfung und Rechenschaft.","ersetzt Profit durch reale Wirkung auf Menschen, Natur und Infrastruktur",0.12
substance,Substanz,S,"Welche Stoffe, Energie, Nahrung, Wasser, Wissen oder Pflegezeit sind verfügbar?","Bestimmt Materialfreigabe, Stoffbegrenzung und Kreislaufpflicht.",ersetzt Warenwert durch stoffliche Bedingung,0.07
matter,Materie,M,"Wo befindet sich die materielle Infrastruktur, und ist sie erreichbar?","Bestimmt Ort, Logistik, Nähe, Transportlast und lokale Durchführbarkeit.",ersetzt Handelsort/Marktzugang durch reale materielle Lage,0.07
difference,Differenz,D,Wie groß ist die Lücke zwischen Bedarf und vorhandener Wirklichkeit?,"Bestimmt, ob überhaupt gehandelt werden soll und wie viel Widerspruch gelöst wird.",ersetzt Nachfrage durch Bedarfslücke,0.14
determination,Bestimmung,B,Ist die Handlung sozial/demokratisch bestätigt und sinnvoll bestimmt?,"Bestimmt Legitimation, Mitbestimmung, Widerspruchsrecht und Verantwortlichkeit.",ersetzt Vertragspartnermacht durch kollektive Bestimmung,0.08
phenomena,Phänomene,Ph,"Wie zeigt sich der Zustand sichtbar, messbar und in Berichten Betroffener?","Bestimmt Beweisgrundlage, Beobachtung, Audit und Korrekturpflicht.",ersetzt Marktbeobachtung durch Erscheinungs-/Rückmeldelogik,0.07
angle_direction,Winkelrichtung,R,"In welche Richtung wirkt die Handlung: regenerativ, neutral, ausbeutend oder kontrollierend?","Bestimmt, ob die Handlung erlaubt, bedingt erlaubt, umgebaut oder blockiert wird.",ersetzt Wachstumsrichtung durch Wirkungsrichtung,0.09
