step,kind,replaced term,action,domain,sector,traded effect,meant as,products,workplaces,services,ecology clause,climate clause,contract validity,contract conditions,truth stack score 0 to 4,truth stack priority 0 to 1,base five truth stack,truth stack decimal,compact truth stack,dimension meaning,from region,from commune,to region,to commune,activated effect,causal link,direction vector,note,causality,time,intensity,existence,potencies,effects,substance,matter,difference,determination,phenomena,angle direction
120,contribution offer,selling and labour supply,activate causal effect,water,primary reproduction,"Water effect: drinking water, cleaning, pipes, storage, source protection","secure existence for thirst, hygiene, health, farming, and fire or crisis protection","drinking water, filters, pumps, pipe parts, tanks, measuring sensors, cleaning units",water technicians; hydrologists; pipe builders; laboratory testers; emergency water crews; source protectors,"treatment, leak search, emergency distribution, quality testing, well and pipe maintenance",the water catchment must not be emptied; restoration and leak reduction are binding clauses,"drought, heavy rain, and pumping energy are counted; energy heavy solutions need renewable cover",valid,"Causality high: the effect chain is plausible and may be prioritized. Time high: emergency or fast path, short deadline, later review. Intensity high: deployment strength may rise beyond the normal share. Effects high: positive system consequence is recognized as social benefit. Difference high: real gap between need and state legitimates action. Angle direction regenerative: action fits the planetary direction. ecology clause: the water catchment must not be emptied; restoration and leak reduction are binding clauses climate clause: drought, heavy rain, and pumping energy are counted; energy heavy solutions need renewable cover",3.442129,0.860532,433424334343,232261848,C=3.52 | T=3.27 | I=3.39 | E=3.79 | P=2.31 | F=3.88 | S=3.13 | M=3.49 | D=3.70 | V=3.33 | N=4.00 | R=3.24,"strong: Phenomena 4.00, Effects 3.88, Existence 3.79; weak or to be checked: Angle direction 3.24, Substance 3.13, Potencies 2.31",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,41284888.2009,water:AquaNortCommune900→AquaNortCommune900,angle=3.237; difference=3.705; determination=3.326; validity=valid,"contribution time is directed by truth-vector priority, not wage or price",3.52,3.272368,3.393323,3.793323,2.311334,3.88,3.132871,3.491119,3.704747,3.325565,4.0,3.237109
120,contribution offer,selling and labour supply,activate causal effect,food,primary reproduction,"Food effect: calories, nutrients, soil fertility, seed, harvest time","bodily reproduction, health, local food security, and culturally fitting supply","grain, vegetables, pulses, fruit, seed, cooling crates, storage crates, kitchen equipment",farmers; seed keepers; food processors; common kitchens; agroecology crews,"growing plans, harvest, processing, storage, distribution, common meals, nutrition guidance","soil building, water use, biodiversity, and toxic load are binding conditions","methane, fertiliser, transport, cooling, and climate resilient cropping shape the angle direction",valid,"Causality high: the effect chain is plausible and may be prioritized. Time high: emergency or fast path, short deadline, later review. Intensity high: deployment strength may rise beyond the normal share. Effects high: positive system consequence is recognized as social benefit. Difference high: real gap between need and state legitimates action. Angle direction regenerative: action fits the planetary direction. ecology clause: soil building, water use, biodiversity, and toxic load are binding conditions climate clause: methane, fertiliser, transport, cooling, and climate resilient cropping shape the angle direction",3.446601,0.86165,333434334343,183511848,C=3.28 | T=3.19 | I=3.35 | E=3.73 | P=3.05 | F=3.76 | S=3.13 | M=3.49 | D=3.70 | V=3.32 | N=4.00 | R=3.24,"strong: Phenomena 4.00, Effects 3.76, Existence 3.73; weak or to be checked: Time 3.19, Substance 3.13, Potencies 3.05",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,43248322.231269,food:AquaNortCommune900→AquaNortCommune900,angle=3.237; difference=3.701; determination=3.324; validity=valid,"contribution time is directed by truth-vector priority, not wage or price",3.28,3.190852,3.350964,3.730964,3.049872,3.76,3.132871,3.491119,3.701377,3.323712,4.0,3.237109
120,contribution offer,selling and labour supply,activate causal effect,energy,energy infrastructure,"Energy effect: light, heat, drive, grid stability, stored charge","condition for supply, communication, production, care, mobility, and disaster protection","electricity, heat, solar panels, wind parts, batteries, heat pumps, wires, control devices",electricians; grid planners; storage maintainers; solar and wind installers; energy cooperatives; load managers,"generation, distribution, load shifting, repair, insulation guidance, emergency power priority","mining, land use, dismantling, and recycling belong inside the contract","fossil share, efficiency, renewability, and emission effect set permission and priority",valid,"Causality high: the effect chain is plausible and may be prioritized. Intensity high: deployment strength may rise beyond the normal share. Effects high: positive system consequence is recognized as social benefit. Difference high: real gap between need and state legitimates action. Angle direction regenerative: action fits the planetary direction. ecology clause: mining, land use, dismantling, and recycling belong inside the contract climate clause: fossil share, efficiency, renewability, and emission effect set permission and priority",3.353586,0.838396,333433334343,183496223,C=3.12 | T=2.97 | I=3.29 | E=3.61 | P=3.06 | F=3.20 | S=3.13 | M=3.49 | D=3.81 | V=3.39 | N=4.00 | R=3.21,"strong: Phenomena 4.00, Difference 3.81, Existence 3.61; weak or to be checked: Causality 3.12, Potencies 3.06, Time 2.97",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,40865785.267032,energy:AquaNortCommune900→AquaNortCommune900,angle=3.208; difference=3.814; determination=3.386; validity=valid,"contribution time is directed by truth-vector priority, not wage or price",3.12,2.969523,3.293786,3.605786,3.064352,3.2,3.132871,3.491119,3.81398,3.385643,4.0,3.208
120,contribution offer,selling and labour supply,activate causal effect,shelter,social infrastructure,"Shelter effect: protection, room, warmth, safety, nearness to supply",stable basis of existence instead of rent or ownership as exclusion,"housing space, insulation, repair parts, sanitation, modular parts, common rooms",builders; renovators; architects; vacancy mappers; building technicians; housing mediators,"allocation by need, maintenance, conversion, accessibility, energy renovation, neighbourhood care","conversion before new building; land sealing, material cycling, and local greenery are clauses","heating energy, insulation, heat protection, and embodied emissions set the angle direction",experimental,"Causality medium: the contract contains audit and correction duty. Time low: plannable, no emergency displacement of other fields. Existence uncertain: request reports from affected persons and measurement. Effects high: positive system consequence is recognized as social benefit. Determination weak: democratic feedback and right of objection are required. Phenomena weak: improve visibility, reports, and audit. Angle direction regenerative: action fits the planetary direction. ecology clause: conversion before new building; land sealing, material cycling, and local greenery are clauses climate clause: heating energy, insulation, heat protection, and embodied emissions set the angle direction",1.856411,0.464103,311124330113,158823783,C=2.92 | T=1.38 | I=0.69 | E=1.03 | P=2.36 | F=3.52 | S=3.13 | M=3.49 | D=0.00 | V=1.29 | N=0.80 | R=3.12,"strong: Effects 3.52, Matter 3.49, Substance 3.13; weak or to be checked: Phenomena 0.80, Intensity 0.69, Difference 0.00",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,23499758.935028,shelter:AquaNortCommune900→AquaNortCommune900,angle=3.120; difference=0.000; determination=1.288; validity=experimental,"contribution time is directed by truth-vector priority, not wage or price",2.92,1.381232,0.688,1.032,2.364179,3.52,3.132871,3.491119,0.0,1.287954,0.795182,3.12
120,contribution offer,selling and labour supply,activate causal effect,health,care reproduction,"Healing effect: diagnosis, treatment, prevention, medicine, nursing time",bodily and mental stabilisation by urgency instead of ability to pay,"medicine, dressings, diagnostic devices, beds, rehabilitation aids, hygiene equipment",doctors; nurses; laboratories; rescue teams; therapists; prevention workers; medical technicians,"diagnosis, treatment, emergency care, prevention, therapy, rehabilitation, health education","medical waste, water and energy demand, and toxic paths must be closed","heat, new disease burdens, emergency resilience, and climate proof infrastructure enter time and intensity",experimental,"Causality high: the effect chain is plausible and may be prioritized. Time low: plannable, no emergency displacement of other fields. Existence uncertain: request reports from affected persons and measurement. Effects high: positive system consequence is recognized as social benefit. Determination weak: democratic feedback and right of objection are required. Phenomena weak: improve visibility, reports, and audit. Angle direction regenerative: action fits the planetary direction. ecology clause: medical waste, water and energy demand, and toxic paths must be closed climate clause: heat, new disease burdens, emergency resilience, and climate proof infrastructure enter time and intensity",1.932561,0.48314,311134330113,158901908,C=3.04 | T=1.45 | I=0.72 | E=1.08 | P=2.81 | F=3.64 | S=3.13 | M=3.49 | D=0.00 | V=1.29 | N=0.80 | R=3.24,"strong: Effects 3.64, Matter 3.49, Angle direction 3.24; weak or to be checked: Phenomena 0.80, Intensity 0.72, Difference 0.00",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,24927818.201181,health:AquaNortCommune900→AquaNortCommune900,angle=3.237; difference=0.000; determination=1.288; validity=experimental,"contribution time is directed by truth-vector priority, not wage or price",3.04,1.445232,0.72,1.08,2.806523,3.64,3.132871,3.491119,0.0,1.287954,0.795182,3.237109
120,contribution offer,selling and labour supply,activate causal effect,care,care reproduction,"Care effect: nursing, accompaniment, protection, time, relation, relief","maintenance of dignity, daily life, dependence safety, and social bond","care aids, wheelchairs, beds, hygiene goods, assistance devices, accessible equipment",care workers; assistants; social workers; family relief crews; dementia companions; neighbourhood teams,"basic care, accompaniment, child care, elder care, disability assistance, relief services",short routes and low material care are preferred; waste and hygiene must be safe,heat and crisis preparation for vulnerable people belong to care contracts,experimental,"Causality high: the effect chain is plausible and may be prioritized. Time low: plannable, no emergency displacement of other fields. Existence uncertain: request reports from affected persons and measurement. Effects high: positive system consequence is recognized as social benefit. Determination weak: democratic feedback and right of objection are required. Phenomena weak: improve visibility, reports, and audit. Angle direction regenerative: action fits the planetary direction. ecology clause: short routes and low material care are preferred; waste and hygiene must be safe climate clause: heat and crisis preparation for vulnerable people belong to care contracts",1.842806,0.460702,311133330113,158886283,C=3.24 | T=1.22 | I=0.61 | E=0.91 | P=2.68 | F=3.20 | S=3.13 | M=3.49 | D=0.00 | V=1.29 | N=0.80 | R=3.24,"strong: Matter 3.49, Causality 3.24, Angle direction 3.24; weak or to be checked: Phenomena 0.80, Intensity 0.61, Difference 0.00",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,23538496.969842,care:AquaNortCommune900→AquaNortCommune900,angle=3.237; difference=0.000; determination=1.288; validity=experimental,"contribution time is directed by truth-vector priority, not wage or price",3.24,1.221232,0.608,0.912,2.681964,3.2,3.132871,3.491119,0.0,1.287954,0.795182,3.237109
120,contribution offer,selling and labour supply,activate causal effect,education,knowledge reproduction,"Education effect: ability, judgment, knowledge, self direction, future potential",development of potencies instead of training only for market usefulness,"learning rooms, books, devices, workshops, open curricula, learning material, digital access",teachers; mentors; workshop leaders; education coordinators; language and inclusion workers,"lessons, adult learning, retraining, civic education, open laboratories","ecological knowledge, repair ability, and substance cycles are teaching content","climate competence, adaptation knowledge, and energy use of learning infrastructure are tracked",experimental,"Causality medium: the contract contains audit and correction duty. Time low: plannable, no emergency displacement of other fields. Existence uncertain: request reports from affected persons and measurement. Effects high: positive system consequence is recognized as social benefit. Determination weak: democratic feedback and right of objection are required. Phenomena weak: improve visibility, reports, and audit. Angle direction conditional: limit side effects and climate effect. ecology clause: ecological knowledge, repair ability, and substance cycles are teaching content climate clause: climate competence, adaptation knowledge, and energy use of learning infrastructure are tracked",1.665161,0.41629,310123330113,156855033,C=2.80 | T=1.00 | I=0.50 | E=0.74 | P=2.33 | F=3.00 | S=3.13 | M=3.49 | D=0.00 | V=1.29 | N=0.80 | R=2.59,"strong: Matter 3.49, Substance 3.13, Effects 3.00; weak or to be checked: Existence 0.74, Intensity 0.50, Difference 0.00",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,21163401.878536,education:AquaNortCommune900→AquaNortCommune900,angle=2.591; difference=0.000; determination=1.288; validity=experimental,"contribution time is directed by truth-vector priority, not wage or price",2.8,0.997232,0.496,0.744,2.333271,3.0,3.132871,3.491119,0.0,1.287954,0.795182,2.59147
120,contribution offer,selling and labour supply,activate causal effect,mobility,logistics circulation,"Movement effect: access, transport, nearness, rescue route, goods flow",reachability of real needs instead of sold kilometres or ticket value,"bicycles, buses, trains, charging points, paths, spare parts, logistics software, rescue vehicles",drivers; route planners; bicycle and rail repairers; logistics workers; accessibility services; rescue transport,"public transport, goods movement, emergency transport, school routes, care rides, shared supply chains","land use, noise, air pollution, and habitat cuts are contract conditions","emission per movement effect, electrification, and avoidance of needless routes set direction",experimental,"Causality medium: the contract contains audit and correction duty. Time low: plannable, no emergency displacement of other fields. Existence uncertain: request reports from affected persons and measurement. Determination weak: democratic feedback and right of objection are required. Phenomena weak: improve visibility, reports, and audit. Angle direction conditional: limit side effects and climate effect. ecology clause: land use, noise, air pollution, and habitat cuts are contract conditions climate clause: emission per movement effect, electrification, and avoidance of needless routes set direction",1.585159,0.39629,310132330113,156917533,C=2.64 | T=0.81 | I=0.40 | E=0.60 | P=2.72 | F=2.28 | S=3.13 | M=3.49 | D=0.00 | V=1.29 | N=0.80 | R=2.87,"strong: Matter 3.49, Substance 3.13, Angle direction 2.87; weak or to be checked: Existence 0.60, Intensity 0.40, Difference 0.00",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,19692137.901919,mobility:AquaNortCommune900→AquaNortCommune900,angle=2.867; difference=0.000; determination=1.288; validity=experimental,"contribution time is directed by truth-vector priority, not wage or price",2.64,0.805232,0.4,0.6,2.719054,2.28,3.132871,3.491119,0.0,1.287954,0.795182,2.8672
120,contribution offer,selling and labour supply,activate causal effect,manufacturing,material transformation,"Making effect: tools, spare parts, machine ability, repair basis",material transformation ability without profit pressure and artificial obsolescence,"tools, spare parts, machine modules, housings, pumps, medical parts, farming tools",machine builders; makers; open workshops; quality testers; material planners; circular designers,"making, conversion, standard setting, tool lending, open production plans, quality control","new material is secondary; repairability, recycling, and non toxicity are required","energy intensity, process heat, routes, and material throughput limit release",experimental,"Causality medium: the contract contains audit and correction duty. Time low: plannable, no emergency displacement of other fields. Existence uncertain: request reports from affected persons and measurement. Determination weak: democratic feedback and right of objection are required. Phenomena weak: improve visibility, reports, and audit. Angle direction regenerative: action fits the planetary direction. ecology clause: new material is secondary; repairability, recycling, and non toxicity are required climate clause: energy intensity, process heat, routes, and material throughput limit release",1.805512,0.451378,311133330114,158886284,C=2.88 | T=1.06 | I=0.53 | E=0.79 | P=2.98 | F=2.96 | S=3.13 | M=3.49 | D=0.00 | V=1.29 | N=0.80 | R=3.58,"strong: Angle direction 3.58, Matter 3.49, Substance 3.13; weak or to be checked: Existence 0.79, Intensity 0.53, Difference 0.00",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,22546229.876359,manufacturing:AquaNortCommune900→AquaNortCommune900,angle=3.576; difference=0.000; determination=1.288; validity=experimental,"contribution time is directed by truth-vector priority, not wage or price",2.88,1.061232,0.528,0.792,2.978593,2.96,3.132871,3.491119,0.0,1.287954,0.795182,3.576
120,contribution offer,selling and labour supply,activate causal effect,storage,resilience capacity,"Storage effect: buffer, durability, grid reserve, emergency stock, time bridge","protection against swings, shocks, and time mismatch between need and production","food stores, water tanks, batteries, heat stores, cold chains, spare part depots",storage coordinators; storage technicians; stock testers; cold chain maintainers; emergency logisticians,"storing, shelf life checking, reserve management, grid buffering, crisis priority","spoilage, coolants, storage space, and material use are substance and matter conditions",storage reduces waste but can use energy and material; both enter direction,experimental,"Causality high: the effect chain is plausible and may be prioritized. Time low: plannable, no emergency displacement of other fields. Existence uncertain: request reports from affected persons and measurement. Effects high: positive system consequence is recognized as social benefit. Determination weak: democratic feedback and right of objection are required. Phenomena weak: improve visibility, reports, and audit. Angle direction regenerative: action fits the planetary direction. ecology clause: spoilage, coolants, storage space, and material use are substance and matter conditions climate clause: storage reduces waste but can use energy and material; both enter direction",1.782944,0.445736,311133330113,158886283,C=3.08 | T=1.03 | I=0.51 | E=0.77 | P=2.62 | F=3.08 | S=3.13 | M=3.49 | D=0.00 | V=1.29 | N=0.80 | R=3.36,"strong: Matter 3.49, Angle direction 3.36, Substance 3.13; weak or to be checked: Existence 0.77, Intensity 0.51, Difference 0.00",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,21719145.039896,storage:AquaNortCommune900→AquaNortCommune900,angle=3.360; difference=0.000; determination=1.288; validity=experimental,"contribution time is directed by truth-vector priority, not wage or price",3.08,1.029232,0.512,0.768,2.621633,3.08,3.132871,3.491119,0.0,1.287954,0.795182,3.36
120,contribution offer,selling and labour supply,activate causal effect,governance,institutional coordination,"Determination effect: decision, law, conflict resolution, rights, truth correction",legitimation and error correction of the planetary economy instead of market or state automatic rule,"rules, minutes, decision registers, privacy tools, audit reports, conflict procedures",moderators; legal workers; privacy stewards; citizen councils; mediators; auditors; ombuds offices,"participation, objection procedures, truth review, resource release, conflict resolution",ecological limits are publicly watched and must not be voted away,"climate contracts need transparency, long horizons, and rights against displacement or technocracy",experimental,"Causality medium: the contract contains audit and correction duty. Time low: plannable, no emergency displacement of other fields. Existence uncertain: request reports from affected persons and measurement. Effects high: positive system consequence is recognized as social benefit. Determination weak: democratic feedback and right of objection are required. Phenomena weak: improve visibility, reports, and audit. Angle direction regenerative: action fits the planetary direction. ecology clause: ecological limits are publicly watched and must not be voted away climate clause: climate contracts need transparency, long horizons, and rights against displacement or technocracy",1.814029,0.453507,311133330113,158886283,C=2.68 | T=1.19 | I=0.59 | E=0.89 | P=2.62 | F=3.44 | S=3.13 | M=3.49 | D=0.00 | V=1.29 | N=0.80 | R=3.20,"strong: Matter 3.49, Effects 3.44, Angle direction 3.20; weak or to be checked: Phenomena 0.80, Intensity 0.59, Difference 0.00",Aqua North Basin,AquaNortCommune900,Aqua North Basin,AquaNortCommune900,22067772.200768,governance:AquaNortCommune900→AquaNortCommune900,angle=3.195; difference=0.000; determination=1.288; validity=experimental,"contribution time is directed by truth-vector priority, not wage or price",2.68,1.189232,0.592,0.888,2.622301,3.44,3.132871,3.491119,0.0,1.287954,0.795182,3.195136
