domain,sector,trade_object,meant_as,products,workplaces,services,ecology,climate
water,primary_reproduction,"Wasserwirkung: Trinkwasser, Reinigung, Leitung, Speicher, Quellschutz","Existenzsicherung für Durst, Hygiene, Gesundheit, Landwirtschaft und Feuer-/Krisenschutz","Trinkwasser, Filter, Pumpen, Rohrteile, Speicher, Messsensoren, Entsalzungs-/Reinigungseinheiten",Wassertechniker:in; Hydrolog:in; Leitungsbau; Laborprüfung; Notwasserteam; Quellschutzgruppe,"Aufbereitung, Lecksuche, Notverteilung, Qualitätsmessung, Brunnen-/Leitungswartung",Wassereinzugsgebiet darf nicht leergezogen werden; Renaturierung und Leckreduktion sind Vertragsauflagen,"Dürre, Starkregen und Pumpenergie werden mitgerechnet; energieintensive Lösungen brauchen erneuerbare Deckung"
food,primary_reproduction,"Nahrungswirkung: Kalorien, Nährstoffe, Bodenfruchtbarkeit, Saatgut, Erntezeit","Körperliche Reproduktion, Gesundheit, lokale Ernährungssicherheit und kulturell passende Versorgung","Getreide, Gemüse, Hülsenfrüchte, Obst, Saatgut, Kühl-/Lagerkisten, Kücheninfrastruktur",Landwirt:in; Saatgutpflege; Lebensmittelverarbeitung; Gemeinschaftsküche; Agrarökologie-Team,"Anbauplanung, Ernte, Verarbeitung, Lagerung, Verteilung, Gemeinschaftsverpflegung, Ernährungsberatung","Bodenaufbau, Wasserverbrauch, Biodiversität und Pestizid-/Schadstofflast sind bindende Bedingungen","Methan, Dünger, Transport, Kühlung und klimaresiliente Anbaumuster gehen in die Winkelrichtung ein"
energy,infrastructure_energy,"Energiewirkung: Licht, Wärme, Antrieb, Netzstabilität, Speicherladung","Bedingung für Versorgung, Kommunikation, Produktion, Pflege, Mobilität und Katastrophenschutz","Strom, Wärme, Solarpaneele, Windkomponenten, Batterien, Wärmepumpen, Leitungen, Steuergeräte",Elektriker:in; Netzplanung; Speicherwartung; Solar-/Windmontage; Energiegenossenschaft; Lastmanagement,"Erzeugung, Verteilung, Lastverschiebung, Reparatur, Dämm-/Effizienzberatung, Notstrompriorisierung","Materialabbau, Flächenverbrauch und Rückbau/Recycling sind Teil des Vertrags","Fossilanteil, Effizienz, Erneuerbarkeit und Emissionswirkung bestimmen Zulassung und Priorität"
shelter,social_infrastructure,"Wohnwirkung: Schutz, Raum, Wärme, Sicherheit, Nähe zu Versorgung",Stabile Existenzgrundlage statt Miete/Eigentum als Ausschlussmechanismus,"Wohnraum, Dämmmaterial, Reparaturteile, Sanitärtechnik, modulare Bauteile, Gemeinschaftsräume",Bauhandwerk; Sanierung; Architektur; Leerstandserfassung; Haustechnik; Konfliktmoderation Wohnen,"Zuweisung nach Bedarf, Instandhaltung, Umbau, Barrierefreiheit, energetische Sanierung, Nachbarschaftspflege","Umbau vor Neubau; Bodenversiegelung, Materialkreislauf und lokale Grünwirkung sind Auflagen","Heizenergie, Dämmung, Hitzeschutz und graue Emissionen bestimmen die Winkelrichtung"
health,care_reproduction,"Heilungswirkung: Diagnose, Behandlung, Prävention, Medikamente, Pflegezeit",Körperliche und psychische Stabilisierung nach Dringlichkeit statt Zahlungsfähigkeit,"Medizin, Verbandstoffe, Diagnostikgeräte, Betten, Reha-Hilfen, Hygieneausstattung",Ärzt:in; Pflege; Labor; Rettung; Therapie; Prävention; Medizintechnik-Wartung,"Diagnose, Behandlung, Notfallversorgung, Prävention, Therapie, Rehabilitation, Gesundheitsbildung","Medizinabfälle, Wasser-/Energiebedarf und Schadstoffpfade müssen geschlossen werden","Hitze, neue Krankheitslast, Notfallresilienz und klimafeste Infrastruktur fließen in Zeit/Intensität ein"
care,care_reproduction,"Sorgewirkung: Pflege, Begleitung, Schutz, Zeit, Beziehung, Entlastung","Erhaltung von Würde, Alltag, Abhängigkeitssicherheit und sozialer Bindung","Pflegehilfen, Rollstühle, Betten, Hygieneartikel, Assistenztechnik, barrierearme Ausstattung",Pflegekraft; Assistenz; Sozialarbeit; Familienentlastung; Demenzbegleitung; Nachbarschaftsteam,"Grundpflege, Betreuung, Kinderbetreuung, Altenhilfe, Behindertenassistenz, Entlastungsangebote",Kurze Wege und materialarme Fürsorge werden bevorzugt; Abfall/Hygiene muss sicher geführt werden,Hitze- und Krisenvorsorge für verletzliche Menschen ist Bestandteil der Sorgeverträge
education,knowledge_reproduction,"Bildungswirkung: Fähigkeit, Urteilskraft, Wissen, Selbstbestimmung, Zukunftspotenzial",Entwicklung von Potenzen statt Ausbildung nur für Marktverwertbarkeit,"Lernräume, Bücher, Geräte, Werkstätten, offene Lehrpläne, Lernmaterial, digitale Zugänge",Lehrkraft; Mentor:in; Werkstattleitung; Bildungskoordination; Sprach-/Inklusionsarbeit,"Unterricht, Erwachsenenbildung, berufliche Umqualifizierung, politische Bildung, offene Labore","Ökologisches Wissen, Reparaturfähigkeit und Stoffkreisläufe werden als Bildungsinhalt behandelt","Klimakompetenz, Anpassungswissen und Energieverbrauch der Lerninfrastruktur werden mitgeführt"
mobility,logistics_circulation,"Bewegungswirkung: Zugang, Transport, Nähe, Rettungsweg, Güterfluss",Erreichbarkeit realer Bedürfnisse statt verkaufter Kilometer oder Ticketwert,"Fahrräder, Busse, Bahnen, Ladepunkte, Wege, Ersatzteile, Logistiksoftware, Rettungsfahrzeuge",Fahrer:in; Streckenplanung; Fahrrad-/Bahnreparatur; Logistik; Barrierefreiheitsdienst; Rettungstransport,"ÖPNV, Gütertransport, Notfalltransport, Schulwege, Pflegefahrten, gemeinschaftliche Lieferketten","Flächenverbrauch, Lärm, Luftschadstoffe und Zerschneidung von Lebensräumen sind Vertragsbedingungen","Emission pro Bewegungswirkung, Elektrifizierung und Vermeidung unnötiger Wege bestimmen die Richtung"
manufacturing,material_transformation,"Herstellungswirkung: Werkzeuge, Ersatzteile, Maschinenfähigkeit, Reparaturbasis",Materielle Transformationsfähigkeit ohne Profitzwang und ohne künstliche Obsoleszenz,"Werkzeuge, Ersatzteile, Maschinenmodule, Gehäuse, Pumpen, medizinische Teile, Landwirtschaftsgeräte",Maschinenbau; Fertigung; FabLab; Qualitätsprüfung; Materialplanung; zirkuläres Design,"Herstellung, Umbau, Normierung, Werkzeugverleih, offene Produktionspläne, Qualitätskontrolle","Neumaterial ist nachrangig; Reparierbarkeit, Recycling und Schadstofffreiheit sind Vertragsauflage","Energieintensität, Prozesswärme, Lieferwege und Materialdurchsatz begrenzen die Freigabe"
storage,resilience_capital,"Speicherwirkung: Puffer, Haltbarkeit, Netzreserve, Krisenlager, Zeitbrücke","Sicherung gegen Schwankungen, Schocks und zeitliche Ungleichheit von Bedarf und Produktion","Lebensmittellager, Wassertanks, Batterien, Wärmespeicher, Kühlketten, Ersatzteillager",Lagerkoordination; Speichertechnik; Vorratsprüfung; Kühlkettenwartung; Notfalllogistik,"Einlagerung, Haltbarkeitskontrolle, Reserveverwaltung, Netzpufferung, Priorisierung bei Krisen","Verderb, Kühlmittel, Lagerflächen und Materialeinsatz werden als Substanz-/Materiebedingungen geführt","Speicher senkt Verschwendung, kann aber energie-/materialintensiv sein; beides geht in die Richtung ein"
