coin_value_zw,debt_qty,debt_value_zw,debtors,holders,label,layer,market_price,meaning,name,positive_qty,positive_value_zw,q,shortage_index
1.0,4732.208703411352,4732.208703411352,1,323,Q1,Grundmünze,1.208477454338243,"Aufgabe, Schwierigkeit, Knoten, Problemkern",Schwierigkeit,8624.581663035711,8624.581663035711,1,0.5486248798374816
1.0,0.0,0.0,0,60,Q2,Grundmünze,1.0,"Teil, Kompliziertheit, Molekülelement, Teilstruktur",Komplexität,1422.9554546721633,1422.9554546721633,2,0.0
1.0,0.0,0.0,0,69,Q3,Grundmünze,1.0,"Theorie, Modell, lockerer/fester Zwischenzustand",Abstraktion,1265.7789750564914,1265.7789750564914,3,0.0
1.0,0.0,0.0,0,65,Q4,Grundmünze,1.0,"formales Objekt, Faden, mathematische Gestalt",Kristallisation,221.16076189663895,221.16076189663895,4,0.0
2.0,0.0,0.0,0,66,Q5,Operationsmünze,2.0,"Enkodieren, Befehl, Kommando, imperatives Programmieren",Kodierung,1368.1434751516729,2736.2869503033457,5,0.0
2.0,0.0,0.0,0,51,Q6,Operationsmünze,2.0,"declarative Beschreibung, Regel, Faden statt Befehl",Deklaration,137.62192520301912,275.24385040603823,6,0.0
2.0,0.0,0.0,0,59,Q7,Operationsmünze,2.0,"Delegieren, Referenzieren, Verantwortungsübertragung",Delegation,160.83618519188775,321.6723703837755,7,0.0
2.0,0.0,0.0,0,33,Q8,Operationsmünze,2.0,"wiederverwendbarer Stein, Wabe, Bausteinsammlung",Bibliothek,189.91483005630124,379.8296601126025,8,0.0
2.0,0.0,0.0,0,36,Q9,Operationsmünze,2.0,"Rahmen, Organisches, allgemeine Intelligenzstruktur",Framework,110.90093272352912,221.80186544705825,9,0.0
3.0,363.8628481826187,1091.5885445478561,4,78,Q10,Systemmünze,3.374456439496524,"Beschränkung, Struktur, Strick, Möglichkeitsraum",Constraint,1107.4154010345685,3322.2462031037057,10,0.3284705609618631
3.0,628.6445280465124,1885.9335841395373,5,51,Q11,Systemmünze,3.5612022124629155,"Eingriff, Interface, Gedankeneinsatz",Schnittstelle,1276.6658410424811,3829.9975231274434,11,0.49228264251132975
3.0,0.0,0.0,0,36,Q12,Systemmünze,3.0,"Werkzeugkoffer, Mathematik, Methoden",Toolbox,275.1759954394063,825.5279863182188,12,0.0
3.0,0.0,0.0,0,33,Q13,Systemmünze,3.0,"Programm, Service, Paradigma, Dienst, Gedankenansatz",Programm/Dienst,505.86681175530066,1517.600435265902,13,0.0
3.0,0.0,0.0,0,36,Q14,Systemmünze,3.0,"Komposition, Choreographie, Dirigieren, Meisterung",Orchestrierung,187.55166044501095,562.6549813350329,14,0.0
3.0,0.0,0.0,0,34,Q15,Systemmünze,3.0,"Applikation, Werk, Opus",Anwendung,58.896021793551625,176.68806538065488,15,0.0
3.0,0.0,0.0,0,37,Q16,Systemmünze,3.0,"Menü, Kernel, Betriebssystem, Ausführung",Betrieb,593.3854160359728,1780.1562481079181,16,0.0
4.0,0.0,0.0,0,26,Q17,Kapitalmünze,4.0,Kompression; 1/Q17 = Dekompression,Kompression,73.74143903195333,294.96575612781334,17,0.0
4.0,0.0,0.0,0,25,Q18,Kapitalmünze,4.0,"Architektur, Konstruktion",Architektur,248.48634396512102,993.9453758604841,18,0.0
4.0,0.0,0.0,0,6,Q19,Kapitalmünze,4.0,Generierung; 1/Q19 = Degenerierung,Generierung,21.746734284414927,86.98693713765971,19,0.0
4.0,0.0,0.0,0,15,Q20,Kapitalmünze,4.0,"Modul, Maschine, Gerät, fertige Entwicklung",Modul/Maschine,86.91048717397801,347.64194869591205,20,0.0
