dimension,name,short,question,contract role,economic replacement,weight
Causality,Causality,C,"Does the action touch the real cause, or only a symptom?","Sets causal proof, trial status, and correction duty.",replaces price signal with cause and effect proof,0.08
Time,Time,T,"How urgent is the effect, and in what time window must it arrive?","Sets deadline, emergency path, duration, and priority.",replaces delivery date with real urgency,0.12
Intensity,Intensity,I,"How strong are need, damage, burden, or positive effect?","Sets strength of deployment, labour time, protection level, and escalation.",replaces willingness to pay with strength of the phenomenon,0.12
Existence,Existence,E,"Is the phenomenon present, measured, reported, and checkable?",Sets whether the contract rests on reality or on assumption.,replaces ownership proof with proof of state existence,0.08
Potencies,Potencies,P,"Which abilities, reserves, tools, and possible paths exist?","Sets whether an effect can happen now, partly, or after capability building.",replaces return on capital with real capacity for transformation,0.08
Effects,Effects,F,Which positive and negative system consequences arise?,"Sets goal effect, side effect review, and accountability.","replaces profit with real effects on people, nature, and infrastructure",0.12
Substance,Substance,S,"Which matter, energy, food, water, knowledge, or care time is available?","Sets material release, substance limits, and circular duty.",replaces commodity value with material condition,0.07
Matter,Matter,M,"Where are the material place and infrastructure, and can they be reached?","Sets location, logistics, nearness, transport load, and local feasibility.",replaces market access with real material location,0.07
Difference,Difference,D,How large is the gap between need and existing reality?,Sets whether action should happen and how much contradiction is resolved.,replaces demand with need gap,0.14
Determination,Determination,V,"Is the action socially decided, contestable, and meaningful?","Sets legitimacy, participation, objection right, and responsibility.",replaces partner power with collective determination,0.08
Phenomena,Phenomena,N,"How does the state appear in observation, measurement, and affected reports?","Sets evidence base, observation, audit, and correction duty.",replaces market observation with appearance and feedback logic,0.07
Angle direction,Angle direction,R,"In which direction does the action move: regenerative, neutral, exploitative, or controlling?","Sets whether the action is allowed, conditioned, rebuilt, or blocked.",replaces growth direction with effect direction,0.09
