coin_value_zw,debt_qty,debt_value_zw,debtors,holders,label,layer,market_price,meaning,name,positive_qty,positive_value_zw,q,shortage_index
1.0,2632.763570190508,2632.763570190508,1,313,Q1,Grundmünze,1.1524539983470459,"Aufgabe, Schwierigkeit, Knoten, Problemkern",Schwierigkeit,6561.308417749536,6561.308417749536,1,0.401194732492226
1.0,0.0,0.0,0,71,Q2,Grundmünze,1.0,"Teil, Kompliziertheit, Molekülelement, Teilstruktur",Komplexität,1370.9914333240647,1370.9914333240647,2,0.0
1.0,0.0,0.0,0,75,Q3,Grundmünze,1.0,"Theorie, Modell, lockerer/fester Zwischenzustand",Abstraktion,1164.1261603864527,1164.1261603864527,3,0.0
1.0,0.0,0.0,0,65,Q4,Grundmünze,1.0,"formales Objekt, Faden, mathematische Gestalt",Kristallisation,227.42401009492465,227.42401009492465,4,0.0
2.0,0.0,0.0,0,67,Q5,Operationsmünze,2.0,"Enkodieren, Befehl, Kommando, imperatives Programmieren",Kodierung,1441.6360230629232,2883.2720461258464,5,0.0
2.0,0.0,0.0,0,62,Q6,Operationsmünze,2.0,"declarative Beschreibung, Regel, Faden statt Befehl",Deklaration,171.04683990034496,342.0936798006899,6,0.0
2.0,0.0,0.0,0,71,Q7,Operationsmünze,2.0,"Delegieren, Referenzieren, Verantwortungsübertragung",Delegation,158.43259556657392,316.86519113314785,7,0.0
2.0,0.0,0.0,0,50,Q8,Operationsmünze,2.0,"wiederverwendbarer Stein, Wabe, Bausteinsammlung",Bibliothek,242.59465065141492,485.18930130282985,8,0.0
2.0,0.0,0.0,0,45,Q9,Operationsmünze,2.0,"Rahmen, Organisches, allgemeine Intelligenzstruktur",Framework,152.9192764225653,305.8385528451306,9,0.0
3.0,1294.370821384729,3883.112464154187,6,100,Q10,Systemmünze,3.814020838712449,"Beschränkung, Struktur, Strick, Möglichkeitsraum",Constraint,1812.3754650219344,5437.126395065803,10,0.7140533672916219
3.0,1233.8745885444705,3701.6237656334115,5,56,Q11,Systemmünze,3.7787869961836034,"Eingriff, Interface, Gedankeneinsatz",Schnittstelle,1805.8306599456182,5417.491979836855,11,0.6831464878803537
3.0,0.05404964951415578,0.16214894854246734,1,28,Q12,Systemmünze,3.0002450016049433,"Werkzeugkoffer, Mathematik, Methoden",Toolbox,251.16134752959456,753.4840425887837,12,0.0002149136885468144
3.0,0.0,0.0,0,22,Q13,Systemmünze,3.0,"Programm, Service, Paradigma, Dienst, Gedankenansatz",Programm/Dienst,514.2033229543063,1542.6099688629188,13,0.0
3.0,0.0,0.0,0,27,Q14,Systemmünze,3.0,"Komposition, Choreographie, Dirigieren, Meisterung",Orchestrierung,119.9009881036485,359.7029643109455,14,0.0
3.0,0.0,0.0,0,18,Q15,Systemmünze,3.0,"Applikation, Werk, Opus",Anwendung,30.566542495134772,91.69962748540432,15,0.0
3.0,0.0,0.0,0,27,Q16,Systemmünze,3.0,"Menü, Kernel, Betriebssystem, Ausführung",Betrieb,344.60135008773057,1033.8040502631916,16,0.0
4.0,0.080206114493008,0.320824457972032,1,14,Q17,Kapitalmünze,4.004288380300504,Kompression; 1/Q17 = Dekompression,Kompression,28.17875059729596,112.71500238918384,17,0.002821302829278643
4.0,0.029946433136624387,0.11978573254649755,1,6,Q18,Kapitalmünze,4.022509067271669,"Architektur, Konstruktion",Architektur,1.7722329880794756,7.088931952317902,18,0.014808596889255898
4.0,0.0,0.0,0,9,Q19,Kapitalmünze,4.0,Generierung; 1/Q19 = Degenerierung,Generierung,38.13718332105507,152.54873328422028,19,0.0
4.0,0.0,0.0,0,7,Q20,Kapitalmünze,4.0,"Modul, Maschine, Gerät, fertige Entwicklung",Modul/Maschine,78.01784829053814,312.07139316215256,20,0.0
