domain,sector,traded effect,meant as,products,workplaces,services,ecology clause,climate clause
water,primary reproduction,"Water effect: drinking water, cleaning, pipes, storage, source protection","secure existence for thirst, hygiene, health, farming, and fire or crisis protection","drinking water, filters, pumps, pipe parts, tanks, measuring sensors, cleaning units",water technicians; hydrologists; pipe builders; laboratory testers; emergency water crews; source protectors,"treatment, leak search, emergency distribution, quality testing, well and pipe maintenance",the water catchment must not be emptied; restoration and leak reduction are binding clauses,"drought, heavy rain, and pumping energy are counted; energy heavy solutions need renewable cover"
food,primary reproduction,"Food effect: calories, nutrients, soil fertility, seed, harvest time","bodily reproduction, health, local food security, and culturally fitting supply","grain, vegetables, pulses, fruit, seed, cooling crates, storage crates, kitchen equipment",farmers; seed keepers; food processors; common kitchens; agroecology crews,"growing plans, harvest, processing, storage, distribution, common meals, nutrition guidance","soil building, water use, biodiversity, and toxic load are binding conditions","methane, fertiliser, transport, cooling, and climate resilient cropping shape the angle direction"
energy,energy infrastructure,"Energy effect: light, heat, drive, grid stability, stored charge","condition for supply, communication, production, care, mobility, and disaster protection","electricity, heat, solar panels, wind parts, batteries, heat pumps, wires, control devices",electricians; grid planners; storage maintainers; solar and wind installers; energy cooperatives; load managers,"generation, distribution, load shifting, repair, insulation guidance, emergency power priority","mining, land use, dismantling, and recycling belong inside the contract","fossil share, efficiency, renewability, and emission effect set permission and priority"
shelter,social infrastructure,"Shelter effect: protection, room, warmth, safety, nearness to supply",stable basis of existence instead of rent or ownership as exclusion,"housing space, insulation, repair parts, sanitation, modular parts, common rooms",builders; renovators; architects; vacancy mappers; building technicians; housing mediators,"allocation by need, maintenance, conversion, accessibility, energy renovation, neighbourhood care","conversion before new building; land sealing, material cycling, and local greenery are clauses","heating energy, insulation, heat protection, and embodied emissions set the angle direction"
health,care reproduction,"Healing effect: diagnosis, treatment, prevention, medicine, nursing time",bodily and mental stabilisation by urgency instead of ability to pay,"medicine, dressings, diagnostic devices, beds, rehabilitation aids, hygiene equipment",doctors; nurses; laboratories; rescue teams; therapists; prevention workers; medical technicians,"diagnosis, treatment, emergency care, prevention, therapy, rehabilitation, health education","medical waste, water and energy demand, and toxic paths must be closed","heat, new disease burdens, emergency resilience, and climate proof infrastructure enter time and intensity"
care,care reproduction,"Care effect: nursing, accompaniment, protection, time, relation, relief","maintenance of dignity, daily life, dependence safety, and social bond","care aids, wheelchairs, beds, hygiene goods, assistance devices, accessible equipment",care workers; assistants; social workers; family relief crews; dementia companions; neighbourhood teams,"basic care, accompaniment, child care, elder care, disability assistance, relief services",short routes and low material care are preferred; waste and hygiene must be safe,heat and crisis preparation for vulnerable people belong to care contracts
education,knowledge reproduction,"Education effect: ability, judgment, knowledge, self direction, future potential",development of potencies instead of training only for market usefulness,"learning rooms, books, devices, workshops, open curricula, learning material, digital access",teachers; mentors; workshop leaders; education coordinators; language and inclusion workers,"lessons, adult learning, retraining, civic education, open laboratories","ecological knowledge, repair ability, and substance cycles are teaching content","climate competence, adaptation knowledge, and energy use of learning infrastructure are tracked"
mobility,logistics circulation,"Movement effect: access, transport, nearness, rescue route, goods flow",reachability of real needs instead of sold kilometres or ticket value,"bicycles, buses, trains, charging points, paths, spare parts, logistics software, rescue vehicles",drivers; route planners; bicycle and rail repairers; logistics workers; accessibility services; rescue transport,"public transport, goods movement, emergency transport, school routes, care rides, shared supply chains","land use, noise, air pollution, and habitat cuts are contract conditions","emission per movement effect, electrification, and avoidance of needless routes set direction"
manufacturing,material transformation,"Making effect: tools, spare parts, machine ability, repair basis",material transformation ability without profit pressure and artificial obsolescence,"tools, spare parts, machine modules, housings, pumps, medical parts, farming tools",machine builders; makers; open workshops; quality testers; material planners; circular designers,"making, conversion, standard setting, tool lending, open production plans, quality control","new material is secondary; repairability, recycling, and non toxicity are required","energy intensity, process heat, routes, and material throughput limit release"
storage,resilience capacity,"Storage effect: buffer, durability, grid reserve, emergency stock, time bridge","protection against swings, shocks, and time mismatch between need and production","food stores, water tanks, batteries, heat stores, cold chains, spare part depots",storage coordinators; storage technicians; stock testers; cold chain maintainers; emergency logisticians,"storing, shelf life checking, reserve management, grid buffering, crisis priority","spoilage, coolants, storage space, and material use are substance and matter conditions",storage reduces waste but can use energy and material; both enter direction
governance,institutional coordination,"Determination effect: decision, law, conflict resolution, rights, truth correction",legitimation and error correction of the planetary economy instead of market or state automatic rule,"rules, minutes, decision registers, privacy tools, audit reports, conflict procedures",moderators; legal workers; privacy stewards; citizen councils; mediators; auditors; ombuds offices,"participation, objection procedures, truth review, resource release, conflict resolution",ecological limits are publicly watched and must not be voted away,"climate contracts need transparency, long horizons, and rights against displacement or technocracy"
knowledge,knowledge reproduction,"Knowledge effect: research, open plans, diagnosis, simulation, learning curves",increase of potencies and reduction of truth error,"open plans, measurement data, models, teaching material, build guides, diagnostic protocols",researchers; data stewards; simulation workers; librarians; technology transfer workers; local learning workshops,"analysis, advice, development, documentation, knowledge transfer, error review",knowledge must reveal substance consequences and must not hide externalisation,"climate models, adaptation knowledge, and technology assessment are core content"
resilience,risk protection,"Resilience effect: redundancy, emergency ability, crisis protection, replacement paths","protection against shocks, climate events, supply failures, and social breaks","emergency stores, radio nets, mobile water filters, reserve power, shelters, evacuation plans",disaster protection; medical aid; grid redundancy; risk analysis; community drills; emergency logistics,"crisis planning, drills, emergency supply, redundancy building, risk monitoring, recovery coordination",resilience must not treat nature as a sacrifice reserve; natural buffers are protection infrastructure,"heat, flood, drought, and crop failure raise time and intensity and allow faster redistribution"
repair,circular industry,"Repair effect: lifetime, reuse, spare part recovery, capacity preservation",resolution of material difference instead of new buying and throwing away,"spare parts, restored devices, repaired clothing, building parts, tool sets, recovered material","repair workshops; circular designers; sorters; maintainers; electronic, textile, and building repairers","repair, maintenance, diagnosis, refurbishment, material recovery, lifetime extension","reduces waste, raw material pressure, and toxins; toxin safety remains a condition",lowers embodied emissions and material throughput; energy heavy repair must be ecologically worthwhile
ecology,planetary regeneration,"Regeneration effect: soil, biodiversity, water balance, cooling, habitat","planetary life basis as active economic work, not a free background","restoration land, seed, wetlands, agroforestry, urban green, soil protection material",ecologists; restoration crews; forest and agroforestry keepers; waterway carers; biodiversity monitors,"soil building, rewetting, afforestation, species monitoring, waterway restoration, cooling area planning",this is direct ecological basic function; exploitation must not be booked as regeneration,"binding, cooling, water retention, and adaptation raise angle direction and effect"
waste,material difference resolution,"Waste difference resolution: sorting, toxin securing, return, composting",waste is not a side product but a visible unresolved material difference,"secondary materials, compost, sorted metals, plastics, safe landfill units, repair material",sorters; recyclers; toxin testers; composters; circular logisticians; material auditors,"collection, separation, decontamination, recovery, reuse, safe final storage","toxins must stay out of soil, water, and bodies; cycle before landfill","methane, burning, transport, and avoided new production set climate effect"
